time,y,pc,gc,x,ex,im,exc,imc,p,ir,rx
Q1-1960,2.5174E+12,1.5856E+12,5.7367E+11,3.89038E+11,87200000000,1.056E+11,6500000000,5825000000,0.740005828,0.043453214,
Q2-1960,2.5048E+12,1.6051E+12,5.81025E+11,3.82606E+11,92700000000,1.063E+11,6900000000,5875000000,0.742515031,0.044069483,
Q3-1960,2.5087E+12,1.5985E+12,5.90463E+11,3.80003E+11,90400000000,1.031E+11,6750000000,5725000000,0.743672091,0.042633255,
Q4-1960,2.4762E+12,1.6003E+12,5.96656E+11,3.78543E+11,92200000000,98300000000,6875000000,5425000000,0.740123925,0.041233221,
Q1-1961,2.4912E+12,1.6002E+12,5.8974E+11,3.84261E+11,91600000000,97800000000,6875000000,5425000000,0.739066741,0.040756793,
Q2-1961,2.538E+12,1.6242E+12,6.01871E+11,3.82739E+11,90300000000,99000000000,6850000000,5475000000,0.729031188,0.040446133,
Q3-1961,2.5791E+12,1.6321E+12,6.09509E+11,3.93653E+11,89800000000,1.056E+11,6800000000,5825000000,0.728449476,0.042421564,
Q4-1961,2.6318E+12,1.6649E+12,6.18153E+11,4.08052E+11,92600000000,1.081E+11,7075000000,5975000000,0.723430406,0.042572464,
Q1-1962,2.6791E+12,1.6827E+12,6.31701E+11,4.15126E+11,92400000000,1.114E+11,7075000000,6075000000,0.712207624,0.043066455,
Q2-1962,2.7084E+12,1.7031E+12,6.3992E+11,4.22005E+11,1.013E+11,1.138E+11,7675000000,6225000000,0.721984967,0.043650033,
Q3-1962,2.7333E+12,1.717E+12,6.53694E+11,4.2759E+11,95600000000,1.152E+11,7250000000,6275000000,0.7182591,0.043674413,
Q4-1962,2.74E+12,1.7415E+12,6.56982E+11,4.24975E+11,93500000000,1.166E+11,7100000000,6400000000,0.722827531,0.04405819,
Q1-1963,2.7759E+12,1.7531E+12,6.55976E+11,4.26126E+11,95700000000,1.139E+11,7275000000,6300000000,0.727605152,0.042496829,
Q2-1963,2.8106E+12,1.77E+12,6.56953E+11,4.39172E+11,1.069E+11,1.166E+11,8100000000,6475000000,0.732881753,0.043126086,
Q3-1963,2.8635E+12,1.794E+12,6.80633E+11,4.55003E+11,1.012E+11,1.196E+11,7650000000,6675000000,0.738310709,0.043297252,
Q4-1963,2.8858E+12,1.8093E+12,6.79811E+11,4.61357E+11,1.063E+11,1.192E+11,8050000000,6700000000,0.742225603,0.042885411,
Q1-1964,2.9505E+12,1.8452E+12,6.81242E+11,4.75219E+11,1.128E+11,1.191E+11,8550000000,6750000000,0.747713111,0.04197061,
Q2-1964,2.9848E+12,1.8779E+12,6.85777E+11,4.75042E+11,1.147E+11,1.218E+11,8700000000,6925000000,0.749577695,0.042437546,
Q3-1964,3.0255E+12,1.9126E+12,6.8555E+11,4.81097E+11,1.138E+11,1.25E+11,8700000000,7100000000,0.742970115,0.042930247,
Q4-1964,3.0336E+12,1.918E+12,6.8222E+11,4.84069E+11,1.172E+11,1.284E+11,9050000000,7325000000,0.738791071,0.044026882,
Q1-1965,3.1082E+12,1.9603E+12,6.84856E+11,4.97671E+11,1.045E+11,1.238E+11,8275000000,7125000000,0.726795972,0.041215834,
Q2-1965,3.1502E+12,1.982E+12,6.94379E+11,5.09233E+11,1.242E+11,1.384E+11,9775000000,7925000000,0.727558654,0.045736946,
Q3-1965,3.2141E+12,2.016E+12,7.15848E+11,5.25438E+11,1.171E+11,1.39E+11,9225000000,8000000000,0.730576514,0.044882144,
Q4-1965,3.2918E+12,2.0727E+12,7.36098E+11,5.34335E+11,1.255E+11,1.458E+11,9875000000,8475000000,0.738735219,0.046047437,
Q1-1966,3.3723E+12,2.1032E+12,7.42178E+11,5.55929E+11,1.233E+11,1.495E+11,9850000000,8750000000,0.732645196,0.046014158,
Q2-1966,3.384E+12,2.109E+12,7.66552E+11,5.46348E+11,1.287E+11,1.532E+11,10375000000,9050000000,0.732791217,0.047061715,
Q3-1966,3.4063E+12,2.1331E+12,7.82027E+11,5.52807E+11,1.239E+11,1.618E+11,10100000000,9550000000,0.724060385,0.0492932,
Q4-1966,3.4337E+12,2.142E+12,7.90841E+11,5.44838E+11,1.28E+11,1.637E+11,10600000000,9700000000,0.715528867,0.049520525,
Q1-1967,3.4641E+12,2.1546E+12,8.27175E+11,5.39929E+11,1.304E+11,1.661E+11,11000000000,9850000000,0.702993815,0.049824519,
Q2-1967,3.4643E+12,2.1834E+12,8.30392E+11,5.44557E+11,1.293E+11,1.648E+11,10875000000,9750000000,0.703423167,0.049415292,
Q3-1967,3.4918E+12,2.1945E+12,8.3779E+11,5.50705E+11,1.261E+11,1.671E+11,10600000000,9875000000,0.703023554,0.049647919,
Q4-1967,3.5182E+12,2.2078E+12,8.46646E+11,5.62398E+11,1.297E+11,1.759E+11,10975000000,10425000000,0.700399248,0.051910875,
Q1-1968,3.5907E+12,2.2603E+12,8.69462E+11,5.70145E+11,1.335E+11,1.862E+11,11375000000,11100000000,0.699637634,0.053858614,
Q2-1968,3.6516E+12,2.2951E+12,8.71672E+11,5.69591E+11,1.361E+11,1.891E+11,11850000000,11350000000,0.689356869,0.053790357,
Q3-1968,3.6765E+12,2.3382E+12,8.75612E+11,5.74922E+11,1.441E+11,2.004E+11,12375000000,12050000000,0.700177423,0.056731967,
Q4-1968,3.692E+12,2.3486E+12,8.82329E+11,5.81696E+11,1.423E+11,1.987E+11,12300000000,12050000000,0.701599011,0.055976561,
Q1-1969,3.7502E+12,2.375E+12,8.77752E+11,5.99178E+11,1.252E+11,1.8E+11,11000000000,10950000000,0.692393939,0.049655172,
Q2-1969,3.7609E+12,2.39E+12,8.8838E+11,5.91809E+11,1.533E+11,2.155E+11,13475000000,13175000000,0.695531383,0.059735004,
Q3-1969,3.7842E+12,2.401E+12,8.90775E+11,5.99007E+11,1.496E+11,2.127E+11,13325000000,13100000000,0.691461783,0.058520883,
Q4-1969,3.7663E+12,2.4198E+12,8.9256E+11,5.76007E+11,1.548E+11,2.103E+11,14125000000,13275000000,0.691795539,0.058230652,
Q1-1970,3.76E+12,2.4344E+12,8.80983E+11,5.77873E+11,1.561E+11,2.097E+11,14225000000,13375000000,0.699916107,0.058186964,
Q2-1970,3.7671E+12,2.4457E+12,8.7231E+11,5.64551E+11,1.63E+11,2.138E+11,15150000000,13800000000,0.694458595,0.059321328,
Q3-1970,3.8005E+12,2.4671E+12,8.73926E+11,5.74303E+11,1.625E+11,2.133E+11,15075000000,14100000000,0.712564696,0.058631116,
Q4-1970,3.7598E+12,2.4601E+12,8.75059E+11,5.73939E+11,1.64E+11,2.167E+11,15275000000,14475000000,0.717170291,0.060264753,
Q1-1971,3.8641E+12,2.5074E+12,8.74847E+11,5.72886E+11,1.646E+11,2.141E+11,15775000000,14675000000,0.715190778,0.057872685,
Q2-1971,3.8859E+12,2.5305E+12,8.74081E+11,5.89975E+11,1.643E+11,2.302E+11,15775000000,15825000000,0.715989404,0.061855116,
Q3-1971,3.9167E+12,2.5507E+12,8.72764E+11,5.99343E+11,1.71E+11,2.353E+11,16350000000,16375000000,0.727843042,0.062818699,
Q4-1971,3.9279E+12,2.5932E+12,8.72197E+11,6.07965E+11,1.567E+11,2.193E+11,15075000000,15475000000,0.733506052,0.058151252,
Q1-1972,3.9977E+12,2.6276E+12,8.80558E+11,6.26895E+11,1.733E+11,2.514E+11,17150000000,18050000000,0.725514959,0.065735802,
Q2-1972,4.0921E+12,2.6773E+12,8.8556E+11,6.37078E+11,1.682E+11,2.425E+11,16800000000,17850000000,0.736958763,0.061800759,
Q3-1972,4.1311E+12,2.7184E+12,8.73458E+11,6.36519E+11,1.784E+11,2.475E+11,17875000000,18525000000,0.747019284,0.062615427,
Q4-1972,4.1987E+12,2.7817E+12,8.70624E+11,6.67207E+11,1.859E+11,2.587E+11,19025000000,19800000000,0.747865477,0.0644687,
Q1-1973,4.3053E+12,2.832E+12,8.70836E+11,6.97247E+11,1.996E+11,2.706E+11,21000000000,21350000000,0.749913772,0.065908371,103.554
Q2-1973,4.3551E+12,2.8305E+12,8.71233E+11,6.97754E+11,2.092E+11,2.628E+11,22975000000,22375000000,0.775253692,0.063387925,99.041
Q3-1973,4.3319E+12,2.8406E+12,8.64941E+11,6.91262E+11,2.099E+11,2.556E+11,24400000000,22775000000,0.766514101,0.062008734,95.826
Q4-1973,4.3733E+12,2.8322E+12,8.68668E+11,6.87947E+11,2.202E+11,2.575E+11,26900000000,24675000000,0.784413325,0.062001878,97.466
Q1-1974,4.3354E+12,2.8078E+12,8.82938E+11,6.79595E+11,2.23E+11,2.487E+11,29175000000,27575000000,0.847488345,0.060475635,97.568
Q2-1974,4.3479E+12,2.819E+12,8.81167E+11,6.7737E+11,2.339E+11,2.619E+11,31675000000,32350000000,0.912120853,0.063660671,94.078
Q3-1974,4.3058E+12,2.8316E+12,8.87827E+11,6.64427E+11,2.213E+11,2.574E+11,31650000000,33400000000,0.907288955,0.063018729,95.664
Q4-1974,4.2889E+12,2.7908E+12,8.94672E+11,6.31909E+11,2.27E+11,2.548E+11,34150000000,34150000000,0.890894819,0.062729265,95.230
Q1-1975,4.2376E+12,2.8146E+12,9.00397E+11,6.0592E+11,2.287E+11,2.293E+11,35350000000,31225000000,0.880998439,0.057197735,93.037
Q2-1975,4.2686E+12,2.8605E+12,9.08177E+11,5.8851E+11,2.22E+11,2.109E+11,34200000000,28800000000,0.886426593,0.052117827,92.619
Q3-1975,4.3409E+12,2.9012E+12,9.10685E+11,6.11513E+11,2.182E+11,2.284E+11,33525000000,30525000000,0.869852333,0.055400587,95.882
Q4-1975,4.3978E+12,2.9314E+12,9.1026E+11,6.27041E+11,2.306E+11,2.406E+11,35625000000,32175000000,0.86562016,0.05773661,96.270
Q1-1976,4.4968E+12,2.9897E+12,9.07298E+11,6.51203E+11,2.29E+11,2.557E+11,35900000000,34725000000,0.866268575,0.059913773,94.846
Q2-1976,4.5303E+12,3.0163E+12,9.10586E+11,6.49481E+11,2.313E+11,2.668E+11,36650000000,36775000000,0.869898356,0.062060944,94.527
Q3-1976,4.552E+12,3.0479E+12,9.07695E+11,6.52938E+11,2.38E+11,2.776E+11,37950000000,38950000000,0.879940237,0.064348632,94.118
Q4-1976,4.5846E+12,3.088E+12,9.12201E+11,6.76229E+11,2.404E+11,2.868E+11,39025000000,40675000000,0.873654999,0.06601906,94.552
Q1-1977,4.64E+12,3.1246E+12,9.17473E+11,6.99801E+11,2.366E+11,3.004E+11,38850000000,44100000000,0.894051175,0.068220012,94.088
Q2-1977,4.7311E+12,3.1415E+12,9.24998E+11,7.34415E+11,2.43E+11,3.032E+11,40475000000,45750000000,0.905902207,0.067556427,93.828
Q3-1977,4.8158E+12,3.1714E+12,9.32353E+11,7.3867E+11,2.448E+11,2.99E+11,40575000000,45725000000,0.922646653,0.065412382,92.773
Q4-1977,4.8153E+12,3.2191E+12,9.34081E+11,7.46411E+11,2.37E+11,3.032E+11,39450000000,46850000000,0.928285863,0.066225455,90.845
Q1-1978,4.8308E+12,3.2373E+12,9.38758E+11,7.49828E+11,2.426E+11,3.235E+11,41150000000,50825000000,0.926241124,0.070506953,88.868
Q2-1978,5.0212E+12,3.3064E+12,9.44681E+11,8.12139E+11,2.678E+11,3.245E+11,46550000000,52200000000,0.925436638,0.068266925,89.018
Q3-1978,5.0707E+12,3.3208E+12,9.47898E+11,8.35469E+11,2.708E+11,3.288E+11,47825000000,53775000000,0.92606675,0.068501427,85.897
Q4-1978,5.1374E+12,3.3478E+12,9.52475E+11,8.54178E+11,2.816E+11,3.334E+11,51350000000,55450000000,0.912069972,0.068660159,85.429
Q1-1979,5.1474E+12,3.3653E+12,9.57903E+11,8.49293E+11,2.818E+11,3.324E+11,52925000000,57450000000,0.920257022,0.068316343,86.867
Q2-1979,5.1523E+12,3.364E+12,9.59802E+11,8.50434E+11,2.825E+11,3.342E+11,55225000000,60775000000,0.930253365,0.068627048,88.985
Q3-1979,5.1894E+12,3.3973E+12,9.47459E+11,8.72694E+11,2.927E+11,3.291E+11,58575000000,64325000000,0.976702586,0.067208528,88.121
Q4-1979,5.2047E+12,3.4071E+12,9.55749E+11,8.65401E+11,3.11E+11,3.363E+11,63425000000,70125000000,1.022459042,0.068721009,89.687
Q1-1980,5.2213E+12,3.4017E+12,9.66051E+11,8.60808E+11,3.198E+11,3.366E+11,67125000000,76075000000,1.076767677,0.068672855,90.344
Q2-1980,5.1159E+12,3.3258E+12,9.79641E+11,7.9202E+11,3.258E+11,3.121E+11,69350000000,73150000000,1.101095978,0.065155216,90.798
Q3-1980,5.1074E+12,3.362E+12,9.72655E+11,7.92186E+11,3.251E+11,2.896E+11,71175000000,69800000000,1.100896165,0.060556636,88.312
Q4-1980,5.2021E+12,3.4068E+12,9.69537E+11,8.19667E+11,3.232E+11,3.052E+11,73125000000,74800000000,1.083234645,0.062555084,89.561
Q1-1981,5.3075E+12,3.4213E+12,9.78295E+11,8.2921E+11,3.292E+11,3.182E+11,76375000000,79925000000,1.08265746,0.063917402,91.396
Q2-1981,5.2661E+12,3.4221E+12,9.89462E+11,8.28016E+11,3.311E+11,3.187E+11,77125000000,80500000000,1.084370816,0.064579534,96.206
Q3-1981,5.3298E+12,3.4357E+12,9.91091E+11,8.25177E+11,3.24E+11,3.151E+11,75575000000,77475000000,1.054095686,0.062946982,100.780
Q4-1981,5.2634E+12,3.4097E+12,9.97851E+11,8.25502E+11,3.255E+11,3.242E+11,76175000000,79850000000,1.052447498,0.065655441,97.946
Q1-1982,5.1771E+12,3.4322E+12,1.00417E+12,7.99343E+11,3.114E+11,3.149E+11,73300000000,77375000000,1.043860911,0.064718334,100.790
Q2-1982,5.2049E+12,3.4443E+12,1.00369E+12,7.81089E+11,3.133E+11,3.098E+11,73675000000,74775000000,1.026396727,0.063333061,104.379
Q3-1982,5.1852E+12,3.4708E+12,1.01503E+12,7.61064E+11,2.994E+11,3.241E+11,69900000000,77325000000,1.021916751,0.066335094,109.876
Q4-1982,5.1898E+12,3.5339E+12,1.02738E+12,7.65769E+11,2.857E+11,3.114E+11,66325000000,73725000000,1.01983322,0.06349789,109.354
Q1-1983,5.2538E+12,3.5685E+12,1.0363E+12,7.79804E+11,2.903E+11,3.185E+11,67675000000,73825000000,0.994289356,0.06416843,107.046
Q2-1983,5.3723E+12,3.6395E+12,1.04365E+12,8.06727E+11,2.912E+11,3.43E+11,68125000000,79500000000,0.990735817,0.067505068,109.711
Q3-1983,5.4784E+12,3.7041E+12,1.05575E+12,8.52885E+11,2.956E+11,3.697E+11,69550000000,85850000000,0.986956802,0.071332098,112.584
Q4-1983,5.5905E+12,3.7625E+12,1.03061E+12,8.96646E+11,3.015E+11,3.879E+11,71650000000,89500000000,0.970899724,0.073340896,112.927
Q1-1984,5.6998E+12,3.7949E+12,1.03529E+12,9.25507E+11,3.078E+11,4.19E+11,73250000000,97000000000,0.972789105,0.077707715,113.529
Q2-1984,5.7979E+12,3.8493E+12,1.05641E+12,9.61359E+11,3.155E+11,4.366E+11,75550000000,1.01625E+11,0.972034596,0.079636655,114.993
