"gender","id","race","ses","schtyp","prgtype","read","write","math","science","socst"
0,70,4,1,1,"general",57,52,41,47,57
1,121,4,2,1,"vocati",68,59,53,63,61
0,86,4,3,1,"general",44,33,54,58,31
0,141,4,3,1,"vocati",63,44,47,53,56
0,172,4,2,1,"academic",47,52,57,53,61
0,113,4,2,1,"academic",44,52,51,63,61
0,50,3,2,1,"general",50,59,42,53,61
0,11,1,2,1,"academic",34,46,45,39,36
0,84,4,2,1,"general",63,57,54,,51
0,48,3,2,1,"academic",57,55,52,50,51
0,75,4,2,1,"vocati",60,46,51,53,61
0,60,5,2,1,"academic",57,65,51,63,61
0,95,4,3,1,"academic",73,60,71,61,71
0,104,4,3,1,"academic",54,63,57,55,46
0,38,3,1,1,"academic",45,57,50,31,56
0,115,4,1,1,"general",42,49,43,50,56
0,76,4,3,1,"academic",47,52,51,50,56
0,195,4,2,2,"general",57,57,60,,56
0,114,4,3,1,"academic",68,65,62,55,61
0,85,4,2,1,"general",55,39,57,53,46
0,167,4,2,1,"general",63,49,35,66,41
0,143,4,2,1,"vocati",63,63,75,72,66
0,41,3,2,1,"academic",50,40,45,55,56
0,20,1,3,1,"academic",60,52,57,61,61
0,12,1,2,1,"vocati",37,44,45,39,46
0,53,3,2,1,"vocati",34,37,46,39,31
0,154,4,3,1,"academic",65,65,66,61,66
0,178,4,2,2,"vocati",47,57,57,58,46
0,196,4,3,2,"academic",44,38,49,39,46
0,29,2,1,1,"general",52,44,49,55,41
0,126,4,2,1,"general",42,31,57,47,51
0,103,4,3,1,"academic",76,52,64,64,61
0,192,4,3,2,"academic",65,67,63,66,71
0,150,4,2,1,"vocati",42,41,57,72,31
0,199,4,3,2,"academic",52,59,50,61,61
0,144,4,3,1,"general",60,65,58,61,66
0,200,4,2,2,"academic",68,54,75,,66
0,80,4,3,1,"academic",65,62,68,66,66
0,16,1,1,1,"vocati",47,31,44,36,36
0,153,4,2,1,"vocati",39,31,40,39,51
0,176,4,2,2,"academic",47,47,41,42,51
0,177,4,2,2,"academic",55,59,62,58,51
0,168,4,2,1,"academic",52,54,57,55,51
0,40,3,1,1,"general",42,41,43,50,41
0,62,4,3,1,"general",65,65,48,63,66
0,169,4,1,1,"general",55,59,63,69,46
0,49,3,3,1,"vocati",50,40,39,49,47
0,136,4,2,1,"academic",65,59,70,63,51
0,189,4,2,2,"academic",47,59,63,53,46
0,7,1,2,1,"academic",57,54,59,47,51
0,27,2,2,1,"academic",53,61,61,57,56
0,128,4,3,1,"academic",39,33,38,47,41
0,21,1,2,1,"general",44,44,61,50,46
0,183,4,2,2,"academic",63,59,49,55,71
0,132,4,2,1,"academic",73,62,73,,66
0,15,1,3,1,"vocati",39,39,44,26,42
0,67,4,1,1,"vocati",37,37,42,33,32
0,22,1,2,1,"vocati",42,39,39,56,46
0,185,4,2,2,"academic",63,57,55,58,41
0,9,1,2,1,"vocati",48,49,52,44,51
0,181,4,2,2,"academic",50,46,45,58,61
0,170,4,3,1,"academic",47,62,61,69,66
0,134,4,1,1,"general",44,44,39,34,46
0,108,4,2,1,"general",34,33,41,36,36
0,197,4,3,2,"academic",50,42,50,36,61
0,140,4,2,1,"vocati",44,41,40,50,26
0,171,4,2,1,"academic",60,54,60,55,66
0,107,4,1,1,"vocati",47,39,47,42,26
0,81,4,1,1,"academic",63,43,59,65,44
0,18,1,2,1,"vocati",50,33,49,44,36
0,155,4,2,1,"general",44,44,46,39,51
0,97,4,3,1,"academic",60,54,58,58,61
0,68,4,2,1,"academic",73,67,71,63,66
0,157,5,2,1,"general",68,59,58,74,66
0,56,4,2,1,"vocati",55,45,46,58,51
0,5,1,1,1,"academic",47,40,43,,31
0,159,4,3,1,"academic",55,61,54,49,61
0,123,4,3,1,"general",68,59,56,63,66
0,164,4,2,1,"vocati",31,36,46,39,46
0,14,1,3,1,"academic",47,41,54,42,56
0,127,4,3,1,"academic",63,59,57,55,56
0,165,4,1,1,"vocati",36,49,54,61,36
0,174,4,2,2,"academic",68,59,71,66,56
0,3,1,1,1,"academic",63,65,48,63,56
0,58,4,2,1,"vocati",55,41,40,44,41
0,146,4,3,1,"academic",55,62,64,63,66
0,102,4,3,1,"academic",52,41,51,53,56
0,117,4,3,1,"vocati",34,49,39,42,56
0,133,4,2,1,"vocati",50,31,40,34,31
0,94,4,3,1,"academic",55,49,61,61,56
0,24,2,2,1,"academic",52,62,66,47,46
0,149,4,1,1,"general",63,49,49,66,46
1,82,4,3,1,"academic",68,62,65,69,61
1,8,1,1,1,"academic",39,44,52,44,48
1,129,4,1,1,"general",44,44,46,47,51
1,173,4,1,1,"general",50,62,61,63,51
1,57,4,2,1,"academic",71,65,72,66,56
1,100,4,3,1,"academic",63,65,71,69,71
1,1,1,1,1,"vocati",34,44,40,39,41
1,194,4,3,2,"academic",63,63,69,61,61
1,88,4,3,1,"academic",68,60,64,69,66
1,99,4,3,1,"general",47,59,56,66,61
1,47,3,1,1,"academic",47,46,49,33,41
1,120,4,3,1,"academic",63,52,54,50,51
1,166,4,2,1,"academic",52,59,53,61,51
1,65,4,2,1,"academic",55,54,66,42,56
1,101,4,3,1,"academic",60,62,67,50,56
1,89,4,1,1,"vocati",35,35,40,51,33
1,54,3,1,2,"general",47,54,46,50,56
1,180,4,3,2,"academic",71,65,69,58,71
1,162,4,2,1,"vocati",57,52,40,61,56
1,4,1,1,1,"academic",44,50,41,39,51
1,131,4,3,1,"academic",65,59,57,46,66
1,125,4,1,1,"academic",68,65,58,59,56
1,34,1,3,2,"academic",73,61,57,55,66
1,106,4,2,1,"vocati",36,44,37,42,41
1,130,4,3,1,"general",43,54,55,55,46
1,93,4,3,1,"academic",73,67,62,58,66
1,163,4,1,1,"academic",52,57,64,58,56
1,37,3,1,1,"vocati",41,47,40,39,51
1,35,1,1,2,"general",60,54,50,50,51
1,87,4,2,1,"general",50,52,46,50,56
1,73,4,2,1,"academic",50,52,53,39,56
1,151,4,2,1,"vocati",47,46,52,48,46
1,44,3,1,1,"vocati",47,62,45,34,46
1,152,4,3,1,"academic",55,57,56,58,61
1,105,4,2,1,"academic",50,41,45,44,56
1,28,2,2,1,"general",39,53,54,50,41
1,91,4,3,1,"vocati",50,49,56,47,46
1,45,3,1,1,"vocati",34,35,41,29,26
1,116,4,2,1,"academic",57,59,54,50,56
1,33,2,1,1,"academic",57,65,72,54,56
1,66,4,2,1,"vocati",68,62,56,50,51
1,72,4,2,1,"vocati",42,54,47,47,46
1,77,4,1,1,"academic",61,59,49,44,66
1,61,4,3,1,"academic",76,63,60,67,66
1,190,4,2,2,"academic",47,59,54,58,46
1,42,3,2,1,"vocati",46,52,55,44,56
1,2,1,2,1,"vocati",39,41,33,42,41
1,55,3,2,2,"academic",52,49,49,44,61
1,19,1,1,1,"general",28,46,43,44,51
1,90,4,3,1,"academic",42,54,50,50,52
1,142,4,2,1,"vocati",47,42,52,39,51
1,17,1,2,1,"academic",47,57,48,44,41
1,122,4,2,1,"academic",52,59,58,53,66
1,191,4,3,2,"academic",47,52,43,48,61
1,83,4,2,1,"vocati",50,62,41,55,31
1,182,4,2,2,"academic",44,52,43,44,51
1,6,1,1,1,"academic",47,41,46,40,41
1,46,3,1,1,"academic",45,55,44,34,41
1,43,3,1,1,"academic",47,37,43,42,46
1,96,4,3,1,"academic",65,54,61,58,56
1,138,4,2,1,"vocati",43,57,40,50,51
1,10,1,2,1,"general",47,54,49,53,61
1,71,4,2,1,"general",57,62,56,58,66
1,139,4,2,1,"academic",68,59,61,55,71
1,110,4,2,1,"vocati",52,55,50,54,61
1,148,4,2,1,"vocati",42,57,51,47,61
1,109,4,2,1,"general",42,39,42,42,41
1,39,3,3,1,"academic",66,67,67,61,66
1,147,4,1,1,"academic",47,62,53,53,61
1,74,4,2,1,"academic",57,50,50,51,58
1,198,4,3,2,"academic",47,61,51,63,31
1,161,4,1,1,"academic",57,62,72,61,61
1,112,4,2,1,"academic",52,59,48,55,61
1,69,4,1,1,"vocati",44,44,40,40,31
1,156,4,2,1,"academic",50,59,53,61,61
1,111,4,1,1,"general",39,54,39,47,36
1,186,4,2,2,"academic",57,62,63,55,41
1,98,4,1,1,"vocati",57,60,51,53,37
1,119,4,1,1,"general",42,57,45,50,43
1,13,1,2,1,"vocati",47,46,39,47,61
1,51,3,3,1,"general",42,36,42,31,39
1,26,2,3,1,"academic",60,59,62,61,51
1,36,3,1,1,"general",44,49,44,35,51
1,135,4,1,1,"academic",63,60,65,54,66
1,59,4,2,1,"academic",65,67,63,55,71
1,78,4,2,1,"academic",39,54,54,53,41
1,64,4,3,1,"vocati",50,52,45,58,36
1,63,4,1,1,"general",52,65,60,56,51
1,79,4,2,1,"academic",60,62,49,50,51
1,193,4,2,2,"academic",44,49,48,39,51
1,92,4,3,1,"general",52,67,57,63,61
1,160,4,2,1,"academic",55,65,55,50,61
1,32,2,3,1,"vocati",50,67,66,66,56
1,23,2,1,1,"academic",65,65,64,58,71
1,158,4,2,1,"general",52,54,55,53,51
1,25,2,2,1,"general",47,44,42,42,36
1,188,4,3,2,"academic",63,62,56,55,61
1,52,3,1,1,"academic",50,46,53,53,66
1,124,4,1,1,"vocati",42,54,41,42,41
1,175,4,3,2,"general",36,57,42,50,41
1,184,4,2,2,"vocati",50,52,53,55,56
1,30,2,3,1,"academic",41,59,42,34,51
1,179,4,2,2,"academic",47,65,60,50,56
1,31,2,2,2,"general",55,59,52,42,56
1,145,4,2,1,"vocati",42,46,38,36,46
1,187,4,2,2,"general",57,41,57,55,52
1,118,4,2,1,"general",55,62,58,58,61
1,137,4,3,1,"academic",63,65,65,53,61
